Date,AHU Kitchen Extract Control Temperature_mean,AHU Kitchen Extract Control Temperature_max,AHU Kitchen Extract Control Temperature_min,AHU Kitchen Intake Control Temperature_mean,AHU Kitchen Intake Control Temperature_max,AHU Kitchen Intake Control Temperature_min,AHU Kitchen Supply Control Temperature_mean,AHU Kitchen Supply Control Temperature_max,AHU Kitchen Supply Control Temperature_min,AHU Kitchen Extract Entering Temperature_mean,AHU Kitchen Extract Entering Temperature_max,AHU Kitchen Extract Entering Temperature_min,AHU Kitchen Intake Entering Temperature_mean,AHU Kitchen Intake Entering Temperature_max,AHU Kitchen Intake Entering Temperature_min,AHU Kitchen Supply Entering Temperature_mean,AHU Kitchen Supply Entering Temperature_max,AHU Kitchen Supply Entering Temperature_min,AHU Kitchen Extract Leaving Temperature_mean,AHU Kitchen Extract Leaving Temperature_max,AHU Kitchen Extract Leaving Temperature_min,AHU Kitchen Intake Leaving Temperature_mean,AHU Kitchen Intake Leaving Temperature_max,AHU Kitchen Intake Leaving Temperature_min,AHU Kitchen Supply Leaving Temperature_mean,AHU Kitchen Supply Leaving Temperature_max,AHU Kitchen Supply Leaving Temperature_min
2025-01-01,,,,,,,19.652760200038195,20.823830812,15.629416088,14.939044777447915,18.967032424,11.329001237,,,,,,,14.939044777447915,18.967032424,11.329001237,,,,19.652760200038195,20.823830812,15.629416088
2025-01-02,,,,,,,19.924960893493058,21.3945487,14.882476719,16.40148955826389,21.778084236,12.223662528,,,,,,,16.40148955826389,21.778084236,12.223662528,,,,19.924960893493058,21.3945487,14.882476719
2025-01-03,,,,,,,20.342467215618054,22.001008994,16.776666952,16.85511919877778,24.447907956,11.200620673,,,,,,,16.85511919877778,24.447907956,11.200620673,,,,20.342467215618054,22.001008994,16.776666952
2025-01-04,,,,,,,21.117788825288194,21.654707913,20.628598007,12.820734225590279,15.181750172,11.312244921,,,,,,,12.820734225590279,15.181750172,11.312244921,,,,21.117788825288194,21.654707913,20.628598007
2025-01-05,,,,,,,19.865840128975695,20.732748462,16.901170334,11.202360197427083,13.833037135,9.385144798,,,,,,,11.202360197427083,13.833037135,9.385144798,,,,19.865840128975695,20.732748462,16.901170334
2025-01-06,,,,,,,19.882835464010416,21.383137923,17.346776101,16.220980681843752,20.595458248,11.991087376,,,,,,,16.220980681843752,20.595458248,11.991087376,,,,19.882835464010416,21.383137923,17.346776101
2025-01-07,,,,,,,20.144178266107637,21.942828428,13.635266756,16.890724684784722,21.993147038,13.412390357,,,,,,,16.890724684784722,21.993147038,13.412390357,,,,20.144178266107637,21.942828428,13.635266756
2025-01-08,,,,,,,20.497071205222223,22.855917927,14.752956928,17.415687712857636,23.39473257,13.790295661,,,,,,,17.415687712857636,23.39473257,13.790295661,,,,20.497071205222223,22.855917927,14.752956928
2025-01-09,,,,,,,20.642085991746526,22.787544061,14.068829155,17.47679378454167,24.412054907,13.064251077,,,,,,,17.47679378454167,24.412054907,13.064251077,,,,20.642085991746526,22.787544061,14.068829155
2025-01-10,,,,,,,20.46232419067014,22.849861965,12.466500863,17.166068017354164,23.871451894,12.290877713,,,,,,,17.166068017354164,23.871451894,12.290877713,,,,20.46232419067014,22.849861965,12.466500863
2025-01-11,,,,,,,21.676820535125003,22.376735582,21.007633884,13.435911675284721,16.522192909,11.653713414,,,,,,,13.435911675284721,16.522192909,11.653713414,,,,21.676820535125003,22.376735582,21.007633884
