Date,FCU 07/01 Control Temperature_mean,FCU 07/01 Control Temperature_max,FCU 07/01 Control Temperature_min
2025-01-01,18.268205980461808,18.821120703,16.656808073
2025-01-02,18.11832450471875,18.801331548,15.822272841
2025-01-03,18.17562215526389,18.917407501,16.392839926
2025-01-04,17.55236262971528,17.874156443,17.17111207
2025-01-05,17.02246346337847,17.997934376,16.762149197
2025-01-06,18.086882256260417,20.686602163,15.794876982
2025-01-07,18.919747562138888,21.833302466,16.994286951
2025-01-08,18.49470426385764,18.989472493,17.14446351
2025-01-09,18.191755955461804,18.896856095,16.068938212
2025-01-10,18.26688294360069,18.983243026,16.611304478
2025-01-11,18.06600145084028,18.980010178,16.356248884
2025-01-12,17.74549131821875,19.09020062,17.013159132
2025-01-13,18.070430324916668,18.747419082,15.905192529
2025-01-14,18.013875339833334,18.728434161,17.159482747
2025-01-15,18.40743981667361,18.930285348,17.250464495
2025-01-16,18.66490754628125,19.189600568,17.068023997
2025-01-17,18.658529052211804,19.257615356,17.261924588
2025-01-18,19.094664808565973,20.174612983,18.579055247
2025-01-19,18.032581373520834,19.133741498,16.532802985
2025-01-20,18.109651596767364,18.75516447,15.863899885
2025-01-21,18.028390758381946,18.604777541,16.444171996
2025-01-22,18.082820085065972,18.667876644,16.819350346
2025-01-23,18.083189704711806,18.637012394,16.453065494
2025-01-24,18.203385595444445,18.686133677,16.760411443
2025-01-25,18.341003227555557,19.501328097,17.700015136
2025-01-26,17.645123795475698,18.091543259,17.339147398
2025-01-27,17.953655827288195,18.622556805,15.771047822
2025-01-28,18.071297199913193,18.675959482,16.525485631
2025-01-29,18.186111298461807,18.682281894,17.064975209
2025-01-30,18.37216368137847,18.893687002,16.643113673
2025-01-31,18.45109680720906,18.798874549,16.587543022
2025-02-01,18.619926216406252,19.638150995,18.109636296
2025-02-02,18.244794515253474,18.810997078,16.457079185
2025-02-03,18.363195124052083,18.823602055,16.283815984
2025-02-04,18.392649018899306,18.715382212,17.338177442
2025-02-05,18.649717995902776,19.037182318,17.253826989
2025-02-06,18.769700659520836,19.392197088,17.122556921
2025-02-07,18.77082291394097,19.214472569,16.920646194
2025-02-08,18.352094202947917,18.710241352,18.018171746
2025-02-09,17.73737858926736,18.015588479,15.851796821
2025-02-10,18.391187719809025,21.50798091,15.724923527
