Date,FCU 02/01 Control Temperature_mean,FCU 02/01 Control Temperature_max,FCU 02/01 Control Temperature_min,FCU 02/01 Entering Temperature_mean,FCU 02/01 Entering Temperature_max,FCU 02/01 Entering Temperature_min,FCU 02/01 Leaving Temperature_mean,FCU 02/01 Leaving Temperature_max,FCU 02/01 Leaving Temperature_min,FCU 02/01 Leaving Temperature Setpoint_mean,FCU 02/01 Leaving Temperature Setpoint_max,FCU 02/01 Leaving Temperature Setpoint_min,FCU 02/01 Temperature Setpoint_mean,FCU 02/01 Temperature Setpoint_max,FCU 02/01 Temperature Setpoint_min
2025-01-01,16.661917957677083,17.045085811,16.113044375,16.661917957677083,17.045085811,16.113044375,18.048383548711808,18.414151324,17.486012002,,,,21.0,21.0,21.0
2025-01-02,15.98609110104514,16.489593134,15.521577677,15.98609110104514,16.489593134,15.521577677,17.38229094060764,17.883374552,16.94147877,,,,21.0,21.0,21.0
2025-01-03,15.701642430222222,16.157443469,15.297329198,15.701642430222222,16.157443469,15.297329198,17.107256859996525,17.56363423,16.704342394,,,,21.0,21.0,21.0
2025-01-04,14.755495852541666,15.326549687,14.339179498,14.755495852541666,15.326549687,14.339179498,16.155885350430555,16.763327232,15.7053798,,,,21.0,21.0,21.0
2025-01-05,14.600141988038196,15.921506256,14.161800174,14.600141988038196,15.921506256,14.161800174,15.975092557493054,16.453387738,15.590489884,,,,21.0,21.0,21.0
2025-01-06,14.858794084093752,15.190595552,14.519870232,14.858794084093752,15.190595552,14.519870232,16.300005192395833,16.605922783,15.998518626,,,,21.0,21.0,21.0
2025-01-07,14.9321941549375,15.471427719,14.478692982,14.9321941549375,15.471427719,14.478692982,16.382896362802082,16.921520486,15.942834718,,,,21.0,21.0,21.0
2025-01-08,14.86089997487153,15.387476782,14.406694199,14.86089997487153,15.387476782,14.406694199,16.307527680434028,16.844987385,15.862146254,,,,21.0,21.0,21.0
2025-01-09,14.828118239250001,15.36414922,14.408716654,14.828118239250001,15.36414922,14.408716654,16.27192483048611,16.805913493,15.857589643,,,,21.0,21.0,21.0
2025-01-10,14.822205956711805,15.323510705,14.399234654,14.822205956711805,15.323510705,14.399234654,16.26178911510417,16.775772173,15.825905784,,,,21.0,21.0,21.0
2025-01-11,14.484355678385416,15.021320791,14.120042665,14.484355678385416,15.021320791,14.120042665,15.912820718288195,16.503497847,15.54505126,,,,21.0,21.0,21.0
2025-01-12,14.635888259923611,16.647368804,14.210917458,14.635888259923611,16.647368804,14.210917458,16.024480801194446,16.992483681,15.612086607,,,,21.0,21.0,21.0
2025-01-13,15.368378724732638,16.019335537,14.581551288,15.368378724732638,16.019335537,14.581551288,16.781818550131945,17.421634865,16.03446975,,,,21.0,21.0,21.0
2025-01-14,16.27183114223958,17.003072403,15.505227896,16.27183114223958,17.003072403,15.505227896,17.66896167526389,18.372285065,16.92909492,,,,21.0,21.0,21.0
2025-01-15,16.467760953819447,17.0613225,15.863918231,16.467760953819447,17.0613225,15.863918231,17.879339286895835,18.490569635,17.229307973,,,,21.0,21.0,21.0
2025-01-16,16.570435789722225,17.374632066,15.892810518,16.570435789722225,17.374632066,15.892810518,17.954552654211806,18.741526204,17.260233453,,,,21.0,21.0,21.0
2025-01-17,16.826067837708333,17.506892946,16.157727083,16.826067837708333,17.506892946,16.157727083,18.265252141444442,18.960745912,17.555962978,,,,21.0,21.0,21.0
2025-01-18,15.83226301389236,16.737688748,15.058914871,15.83226301389236,16.737688748,15.058914871,17.209303265177084,18.157147135,16.447482428,,,,21.0,21.0,21.0
2025-01-19,14.973647457152778,16.566485236,14.664378744,14.973647457152778,16.566485236,14.664378744,16.3180756291875,16.993471652,16.057620855,,,,21.0,21.0,21.0
2025-01-20,15.234469102711806,15.857523375,14.637466287,15.234469102711806,15.857523375,14.637466287,16.651079958333334,17.26685973,16.045661282,,,,21.0,21.0,21.0
2025-01-21,15.603697686375,16.369687983,14.884194278,15.603697686375,16.369687983,14.884194278,17.01763833126736,17.757457038,16.320641151,,,,21.0,21.0,21.0
2025-01-22,15.603470546833332,16.223290443,15.0127294,15.603470546833332,16.223290443,15.0127294,17.008903929666666,17.636863901,16.424117459,,,,21.0,21.0,21.0
2025-01-23,15.6382153785,16.143904159,15.135268985,15.6382153785,16.143904159,15.135268985,17.06997850810764,17.566816641,16.570067673,,,,21.0,21.0,21.0
2025-01-24,15.821200629732639,16.509285837,15.078657491,15.821200629732639,16.509285837,15.078657491,17.25852376959375,17.92414915,16.534846609,,,,21.0,21.0,21.0
2025-01-25,14.981716774642361,15.610253988,14.520442237,14.981716774642361,15.610253988,14.520442237,16.420316859930555,17.096609393,15.95979317,,,,21.0,21.0,21.0
2025-01-26,14.286647743809027,14.516267933,14.140048968,14.286647743809027,14.516267933,14.140048968,15.72728123224653,15.954932419,15.572409616,,,,21.0,21.0,21.0
2025-01-27,14.944849737895835,15.787763802,14.075644937,14.944849737895835,15.787763802,14.075644937,16.374581840649306,17.182820648,15.50566013,,,,21.0,21.0,21.0
2025-01-28,15.461089139697915,16.111340791,14.747648252,15.461089139697915,16.111340791,14.747648252,16.923480243055554,17.583061969,16.183931362,,,,21.0,21.0,21.0
2025-01-29,15.824415345003473,16.466930542,15.228424416,15.824415345003473,16.466930542,15.228424416,17.243538447913195,17.868938458,16.684905163,,,,21.0,21.0,21.0
2025-01-30,15.835800801562499,16.575463961,15.173744817,15.835800801562499,16.575463961,15.173744817,17.227925793597223,17.973122184,16.584035484,,,,21.0,21.0,21.0
2025-01-31,15.924628335297204,16.578962254,15.27692179,15.924628335297204,16.578962254,15.27692179,17.33591113542657,17.994920147,16.684843353,,,,21.0,21.0,21.0
2025-02-01,15.152517548285715,15.80965845,14.671756882,15.152517548285715,15.80965845,14.671756882,16.53609711462718,17.223113568,16.060018663,,,,21.0,21.0,21.0
2025-02-02,14.827793608996526,15.016722334,14.607718195,14.827793608996526,15.016722334,14.607718195,16.223451477201387,16.445086098,15.956201501,,,,21.0,21.0,21.0
2025-02-03,15.542490694527778,16.535251952,14.504059332,15.542490694527778,16.535251952,14.504059332,16.92411147384375,17.88544389,15.90036411,,,,21.0,21.0,21.0
2025-02-04,16.27739290375,16.812889741,15.669598649,16.27739290375,16.812889741,15.669598649,17.71227310161111,18.262315137,17.065377528,,,,21.0,21.0,21.0
2025-02-05,17.145639085322916,20.427863877,15.616294782,17.145639085322916,20.427863877,15.616294782,19.019597707822914,26.16096204,17.024415276,,,,21.0,21.0,21.0
2025-02-06,17.077897438479166,20.33621509,15.688008649,17.077897438479166,20.33621509,15.688008649,18.95314733413889,25.854203145,17.002944454,,,,21.0,21.0,21.0
2025-02-07,16.992633708218747,20.576076507,15.579489703,16.992633708218747,20.576076507,15.579489703,18.89558489941667,26.123665437,16.940406065,,,,21.0,21.0,21.0
2025-02-08,15.225507672177084,15.958332207,14.756202548,15.225507672177084,15.958332207,14.756202548,16.56598617095486,17.317296717,16.107957752,,,,21.0,21.0,21.0
2025-02-09,14.630083047638887,15.127650803,14.404295402,14.630083047638887,15.127650803,14.404295402,15.980735951000002,16.541646208,15.732585899,,,,21.0,21.0,21.0
2025-02-10,16.228509010045137,20.187651298,14.391979207,16.228509010045137,20.187651298,14.391979207,17.995435171590277,25.293617304,15.686389227,,,,21.0,21.0,21.0
2025-02-11,16.455319100628472,20.16210851,15.032289333,16.455319100628472,20.16210851,15.032289333,18.385404393913195,26.251000156,16.42023623,,,,21.0,21.0,21.0
2025-02-12,16.450386062635417,20.170638853,15.017624664,16.450386062635417,20.170638853,15.017624664,18.393363988024305,26.01241494,16.405738543,,,,21.0,21.0,21.0
2025-02-13,16.536350047958333,20.189747136,15.029223286,16.536350047958333,20.189747136,15.029223286,18.440184843256944,25.981699799,16.394903781,,,,21.0,21.0,21.0
2025-02-14,16.472052543874998,20.186692505,15.12010963,16.472052543874998,20.186692505,15.12010963,18.409373709628472,25.976442833,16.500762107,,,,21.0,21.0,21.0
2025-02-15,14.917700441447916,15.276724692,14.502121426,14.917700441447916,15.276724692,14.502121426,16.309722273684027,16.631940744,15.919146023,,,,21.0,21.0,21.0
2025-02-16,14.54084163753125,15.301345696,14.17324318,14.54084163753125,15.301345696,14.17324318,15.884026534055558,16.105159841,15.546730951,,,,21.0,21.0,21.0
