Date,AHU 2 Exhaust Control Temperature_mean,AHU 2 Exhaust Control Temperature_max,AHU 2 Exhaust Control Temperature_min,AHU 2 Extract Control Temperature_mean,AHU 2 Extract Control Temperature_max,AHU 2 Extract Control Temperature_min,AHU 2 Intake Control Temperature_mean,AHU 2 Intake Control Temperature_max,AHU 2 Intake Control Temperature_min,AHU 2 Supply Control Temperature_mean,AHU 2 Supply Control Temperature_max,AHU 2 Supply Control Temperature_min,AHU 2 Exhaust Entering Temperature_mean,AHU 2 Exhaust Entering Temperature_max,AHU 2 Exhaust Entering Temperature_min,AHU 2 Extract Entering Temperature_mean,AHU 2 Extract Entering Temperature_max,AHU 2 Extract Entering Temperature_min,AHU 2 Intake Entering Temperature_mean,AHU 2 Intake Entering Temperature_max,AHU 2 Intake Entering Temperature_min,AHU 2 Supply Entering Temperature_mean,AHU 2 Supply Entering Temperature_max,AHU 2 Supply Entering Temperature_min,AHU 2 Exhaust Leaving Temperature_mean,AHU 2 Exhaust Leaving Temperature_max,AHU 2 Exhaust Leaving Temperature_min,AHU 2 Extract Leaving Temperature_mean,AHU 2 Extract Leaving Temperature_max,AHU 2 Extract Leaving Temperature_min,AHU 2 Intake Leaving Temperature_mean,AHU 2 Intake Leaving Temperature_max,AHU 2 Intake Leaving Temperature_min,AHU 2 Supply Leaving Temperature_mean,AHU 2 Supply Leaving Temperature_max,AHU 2 Supply Leaving Temperature_min
2025-01-01,,,,,,,,,,19.179137847805556,22.119552551,16.439083118,,,,18.41474489032986,20.985233145,15.024224102,12.853337964204862,31.692509564,4.280282685,,,,,,,18.41474489032986,20.985233145,15.024224102,12.853337964204862,31.692509564,4.280282685,19.179137847805556,22.119552551,16.439083118
2025-01-02,,,,,,,,,,19.983851785711806,22.087488595,16.203157066,,,,19.106501832052082,21.141717639,14.604183119,6.273168148996528,26.87467054,1.267611636,,,,,,,19.106501832052082,21.141717639,14.604183119,6.273168148996528,26.87467054,1.267611636,19.983851785711806,22.087488595,16.203157066
2025-01-03,,,,,,,,,,20.167372882913195,22.215128025,16.898569902,,,,19.36381029285764,21.282538089,15.506828856,8.616927449743056,30.971838441,1.214362116,,,,,,,19.36381029285764,21.282538089,15.506828856,8.616927449743056,30.971838441,1.214362116,20.167372882913195,22.215128025,16.898569902
2025-01-04,,,,,,,,,,18.839727353055554,22.636369177,15.827017101,,,,17.580061532378473,19.617673303,15.451425778,12.0362668604375,24.164981827,1.091783832,,,,,,,17.580061532378473,19.617673303,15.451425778,12.0362668604375,24.164981827,1.091783832,18.839727353055554,22.636369177,15.827017101
2025-01-05,,,,,,,,,,19.072846426350694,22.140025614,15.763556935,,,,17.198834485822918,18.661507134,14.761442501,9.328762713,22.45957117,1.823328092,,,,,,,17.198834485822918,18.661507134,14.761442501,9.328762713,22.45957117,1.823328092,19.072846426350694,22.140025614,15.763556935
2025-01-06,,,,,,,,,,20.106495281947915,22.356711968,15.676318767,,,,18.845219076194446,21.145103443,14.599418374,8.379189513395835,27.517069593,3.73461871,,,,,,,18.845219076194446,21.145103443,14.599418374,8.379189513395835,27.517069593,3.73461871,20.106495281947915,22.356711968,15.676318767
2025-01-07,,,,,,,,,,20.293605342916667,22.282569261,16.556680081,,,,19.64359863740972,21.444375099,14.615495383,7.278561547815972,25.588320688,2.37323287,,,,,,,19.64359863740972,21.444375099,14.615495383,7.278561547815972,25.588320688,2.37323287,20.293605342916667,22.282569261,16.556680081
2025-01-08,,,,,,,,,,20.43587417667014,22.620409364,16.859881949,,,,19.72377419843403,21.315505581,14.572613466,5.511979422673611,27.467530329,1.721736712,,,,,,,19.72377419843403,21.315505581,14.572613466,5.511979422673611,27.467530329,1.721736712,20.43587417667014,22.620409364,16.859881949
2025-01-09,,,,,,,,,,20.811530933229168,22.27769148,18.54090323,,,,20.122762059770835,21.497698209,17.608988773,2.7700657911215276,20.378863782,0.262125379,,,,,,,20.122762059770835,21.497698209,17.608988773,2.7700657911215276,20.378863782,0.262125379,20.811530933229168,22.27769148,18.54090323
2025-01-10,,,,,,,,,,20.280549045135416,22.537715312,15.778997984,,,,19.83929003089236,21.609655788,16.204191542,6.9379977235694446,30.299832902,0.77727465,,,,,,,19.83929003089236,21.609655788,16.204191542,6.9379977235694446,30.299832902,0.77727465,20.280549045135416,22.537715312,15.778997984
2025-01-11,,,,,,,,,,19.5899998029375,22.408422076,16.502376843,,,,18.154726349697917,19.554189971,14.995642944,7.751931747916667,33.970094637,-0.718232017,,,,,,,18.154726349697917,19.554189971,14.995642944,7.751931747916667,33.970094637,-0.718232017,19.5899998029375,22.408422076,16.502376843
2025-01-12,,,,,,,,,,19.464609531826387,22.481142853,16.007439011,,,,17.752832450125002,19.071840293,15.065832284,8.202424759940973,35.78152952,-0.202506831,,,,,,,17.752832450125002,19.071840293,15.065832284,8.202424759940973,35.78152952,-0.202506831,19.464609531826387,22.481142853,16.007439011
2025-01-13,,,,,,,,,,19.50870052515972,21.533950932,16.592464273,,,,19.03092962984028,21.315872863,16.129412179,13.34254124023264,35.924886397,3.987473346,,,,,,,19.03092962984028,21.315872863,16.129412179,13.34254124023264,35.924886397,3.987473346,19.50870052515972,21.533950932,16.592464273
2025-01-14,,,,,,,,,,19.503334189503473,21.523635559,17.317112723,,,,18.956555097163193,21.757886315,15.644511408,13.952736847836805,17.314914793,10.914148612,,,,,,,18.956555097163193,21.757886315,15.644511408,13.952736847836805,17.314914793,10.914148612,19.503334189503473,21.523635559,17.317112723
2025-01-15,,,,,,,,,,19.520416800489585,21.643633922,17.226715222,,,,19.074002153027777,21.914880991,15.863892673,13.596391551809027,17.591958555,9.286567527,,,,,,,19.074002153027777,21.914880991,15.863892673,13.596391551809027,17.591958555,9.286567527,19.520416800489585,21.643633922,17.226715222
2025-01-16,,,,,,,,,,19.399764643072917,21.56828567,15.323568126,,,,19.145332011444445,21.974027158,15.971751175,14.491808039753472,31.016198896,5.862572251,,,,,,,19.145332011444445,21.974027158,15.971751175,14.491808039753472,31.016198896,5.862572251,19.399764643072917,21.56828567,15.323568126
2025-01-17,,,,,,,,,,19.565723912371528,21.258580611,16.927985109,,,,19.386607440947916,22.032675058,16.218407948,13.127878204375001,17.797488809,9.115602121,,,,,,,19.386607440947916,22.032675058,16.218407948,13.127878204375001,17.797488809,9.115602121,19.565723912371528,21.258580611,16.927985109
2025-01-18,,,,,,,,,,17.614619180006944,21.65338856,16.974168781,,,,16.22768554521875,19.182737339,15.545858962,16.141433329229166,19.729887093,0.073948075,,,,,,,16.22768554521875,19.182737339,15.545858962,16.141433329229166,19.729887093,0.073948075,17.614619180006944,21.65338856,16.974168781
2025-01-19,,,,,,,,,,18.96919922854514,21.97581414,16.092542376,,,,17.86439822087153,19.252932925,15.966108885,11.716716347114582,36.783319763,-0.243032926,,,,,,,17.86439822087153,19.252932925,15.966108885,11.716716347114582,36.783319763,-0.243032926,18.96919922854514,21.97581414,16.092542376
2025-01-20,,,,,,,,,,19.636148594336806,21.518407285,16.204860061,,,,18.664736992715277,21.106699239,14.799240801,9.750508889409723,31.707593749,2.182028076,,,,,,,18.664736992715277,21.106699239,14.799240801,9.750508889409723,31.707593749,2.182028076,19.636148594336806,21.518407285,16.204860061
2025-01-21,,,,,,,,,,19.292248529878474,21.224969359,17.120152181,,,,18.745528883340278,21.550690359,14.91452306,11.120732200659724,19.358782774,4.994614997,,,,,,,18.745528883340278,21.550690359,14.91452306,11.120732200659724,19.358782774,4.994614997,19.292248529878474,21.224969359,17.120152181
