Date,FCU 04/01 Control Temperature_mean,FCU 04/01 Control Temperature_max,FCU 04/01 Control Temperature_min,FCU 04/01 Entering Temperature_mean,FCU 04/01 Entering Temperature_max,FCU 04/01 Entering Temperature_min,FCU 04/01 Leaving Temperature_mean,FCU 04/01 Leaving Temperature_max,FCU 04/01 Leaving Temperature_min,FCU 04/01 Leaving Temperature Setpoint_mean,FCU 04/01 Leaving Temperature Setpoint_max,FCU 04/01 Leaving Temperature Setpoint_min,FCU 04/01 Temperature Setpoint_mean,FCU 04/01 Temperature Setpoint_max,FCU 04/01 Temperature Setpoint_min
2025-02-01,22.421956217940973,23.485607884,21.421889348,22.421956217940973,23.485607884,21.421889348,23.75959241251389,25.122193561,22.830056227,,,,26.0,26.0,26.0
2025-02-02,21.837709378722224,25.462458129,20.283893083,21.837709378722224,25.462458129,20.283893083,23.118038898621528,27.816772435,21.82551764,,,,26.0,26.0,26.0
2025-02-03,23.21086694439236,26.320203696,19.945863019,23.21086694439236,26.320203696,19.945863019,28.359610938572917,35.743448668,21.479646546,,,,26.0,26.0,26.0
2025-02-04,24.071462800225692,26.234369146,21.963647239,24.071462800225692,26.234369146,21.963647239,28.532623168034725,36.283631214,23.845246472,,,,26.0,26.0,26.0
2025-02-05,24.167484635545136,26.122814109,22.286515159,24.167484635545136,26.122814109,22.286515159,28.24833764146875,35.562953445,24.004467035,,,,26.0,26.0,26.0
2025-02-06,24.110044077763888,25.98871871,22.365025674,24.110044077763888,25.98871871,22.365025674,27.37923620401736,36.357628967,24.177193138,,,,26.0,26.0,26.0
2025-02-07,24.128642137177085,26.231445713,22.519071704,24.128642137177085,26.231445713,22.519071704,28.787824626965275,35.94458318,24.254170993,,,,26.0,26.0,26.0
2025-02-08,21.690174119225695,23.289353831,20.506884929,21.690174119225695,23.289353831,20.506884929,23.476957006125,25.046447966,22.232934544,,,,26.0,26.0,26.0
2025-02-09,20.529553104506945,21.893037314,19.36964844,20.529553104506945,21.893037314,19.36964844,22.204189911625,23.393854213,21.199455539,,,,26.0,26.0,26.0
2025-02-10,22.795620892204862,25.376057169,19.493739744,22.795620892204862,25.376057169,19.493739744,28.572967899336806,35.443499922,21.063747407,,,,26.0,26.0,26.0
2025-02-11,23.598461077586805,26.317818946,21.077439119,23.598461077586805,26.317818946,21.077439119,29.219637025579864,35.842978171,22.821258044,,,,26.0,26.0,26.0
2025-02-12,23.929553777767364,25.787683733,22.010996272,23.929553777767364,25.787683733,22.010996272,28.844799627684026,36.070360272,23.685672591,,,,26.0,26.0,26.0
2025-02-13,24.057448477180557,25.917774836,22.17219082,24.057448477180557,25.917774836,22.17219082,29.32779982160764,36.290624966,23.792908785,,,,26.0,26.0,26.0
2025-02-14,24.01268129830903,26.116983353,22.436402688,24.01268129830903,26.116983353,22.436402688,30.338967369788193,36.538370066,24.061414465,,,,26.0,26.0,26.0
2025-02-15,22.247006530847223,23.285873155,21.015385237,22.247006530847223,23.285873155,21.015385237,24.136365345416667,25.371640933,23.011038214,,,,26.0,26.0,26.0
2025-02-16,22.6687043525625,26.081616482,20.503663731,22.6687043525625,26.081616482,20.503663731,25.478717681114585,30.521870652,22.257807576,,,,26.0,26.0,26.0
2025-02-17,23.04019984147917,26.205821328,20.588745054,23.04019984147917,26.205821328,20.588745054,29.121521874760415,35.145873216,22.047778981,,,,26.0,26.0,26.0
2025-02-18,23.790450630409723,26.272969305,21.983991813,23.790450630409723,26.272969305,21.983991813,29.83799494100347,36.97028251,23.675338589,,,,26.0,26.0,26.0
2025-02-19,24.04778037653125,26.487197273,22.635293789,24.04778037653125,26.487197273,22.635293789,29.99775218723264,37.405559418,24.159413305,,,,26.0,26.0,26.0
2025-02-20,24.44115377339236,27.123979367,22.398542959,24.44115377339236,27.123979367,22.398542959,29.326811795055555,37.369803444,24.664578066,,,,26.0,26.0,26.0
2025-02-21,24.40695034645139,25.923838225,23.019322145,24.40695034645139,25.923838225,23.019322145,29.50193326322222,36.979300679,24.898676219,,,,26.0,26.0,26.0
2025-02-22,23.53377881814236,24.37115025,22.863709761,23.53377881814236,24.37115025,22.863709761,24.73978779275,25.922971906,23.372886735,,,,26.0,26.0,26.0
2025-02-23,21.761845849916668,22.852136255,20.847829438,21.761845849916668,22.852136255,20.847829438,22.885660968802082,24.100662787,21.989574227,,,,26.0,26.0,26.0
2025-02-24,23.57398235736111,26.893602807,20.416672395,23.57398235736111,26.893602807,20.416672395,28.00907121901389,36.216368336,21.591888841,,,,26.0,26.0,26.0
2025-02-25,24.147377465125,26.615136572,22.249373382,24.147377465125,26.615136572,22.249373382,28.23774864721875,36.878280829,23.755051437,,,,26.0,26.0,26.0
2025-02-26,24.206851280190975,26.22576475,22.472054252,24.206851280190975,26.22576475,22.472054252,29.561838841649305,36.380967761,24.254186747,,,,26.0,26.0,26.0
2025-02-27,24.10712338907639,25.810256607,22.032132174,24.10712338907639,25.810256607,22.032132174,28.71760450702083,35.921734197,24.114931929,,,,26.0,26.0,26.0
2025-02-28,24.251132839737764,26.699529071,22.312884543,24.251132839737764,26.699529071,22.312884543,28.569196130311187,36.119907702,24.21060087,,,,26.0,26.0,26.0
2025-03-01,22.518430114689895,23.608382628,21.587375507,22.518430114689895,23.608382628,21.587375507,24.13171768322648,25.444815805,23.299703223,,,,26.0,26.0,26.0
2025-03-02,21.587357778559028,22.934587338,20.524289588,21.587357778559028,22.934587338,20.524289588,22.878269292256945,23.705444515,22.074426986,,,,26.0,26.0,26.0
2025-03-03,23.404099027593748,26.428824267,20.075005707,23.404099027593748,26.428824267,20.075005707,28.614505026152774,35.828991464,21.292565653,,,,26.0,26.0,26.0
2025-03-04,24.05794932315625,25.934717154,22.190090703,24.05794932315625,25.934717154,22.190090703,28.840582530815976,35.868743716,23.727631116,,,,26.0,26.0,26.0
2025-03-05,24.11275912759028,25.984065201,22.47596905,24.11275912759028,25.984065201,22.47596905,27.404378223475693,36.20827172,24.086818002,,,,26.0,26.0,26.0
2025-03-06,23.342322590618053,26.123138147,22.218205824,23.342322590618053,26.123138147,22.218205824,23.908730782982637,35.848727572,12.510236033,,,,23.95284796296875,26.0,22.0
2025-03-07,22.27374554471875,23.092881522,21.405962907,22.27374554471875,23.092881522,21.405962907,22.989852566038195,24.292172728,21.732637281,,,,22.0,22.0,22.0
2025-03-08,22.46261117522222,24.281223091,21.441266184,22.46261117522222,24.281223091,21.441266184,23.84819060339583,25.9812901,22.725255397,,,,22.0,22.0,22.0
2025-03-09,22.297561614711803,23.935600506,21.20793961,22.297561614711803,23.935600506,21.20793961,23.650985625368055,25.930269463,22.495138527,,,,22.0,22.0,22.0
2025-03-10,21.28293518277083,22.023498162,20.368104693,21.28293518277083,22.023498162,20.368104693,23.373488880878472,31.411197067,21.528553203,,,,22.0,22.0,22.0
2025-03-11,21.087734268934028,22.011553579,19.931507073,21.087734268934028,22.011553579,19.931507073,23.957085685194446,32.75539258,20.898393391,,,,22.0,22.0,22.0
2025-03-12,21.193995336052083,21.865887182,20.15690854,21.193995336052083,21.865887182,20.15690854,23.185729239868053,31.251339788,21.089492871,,,,22.0,22.0,22.0
2025-03-13,21.270418342899305,21.955214079,20.169857981,21.270418342899305,21.955214079,20.169857981,23.131226149131944,31.148482648,21.157820684,,,,22.0,22.0,22.0
